,datadate,conm,tic,prccd
0,1984-01-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,
1,2007-07-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.9
2,2007-07-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.17
3,2007-07-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.96
4,2007-07-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.9
5,2007-08-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.1
6,2007-08-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.96
7,2007-08-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.17
8,2007-08-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.89
9,2007-08-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.96
10,2007-08-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.68
11,2007-08-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.22
12,2007-08-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.59
13,2007-08-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.67
14,2007-08-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.07
15,2007-08-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.98
16,2007-08-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.77
17,2007-08-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.4
18,2007-08-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.46
19,2007-08-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.45
20,2007-08-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.59
21,2007-08-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.79
22,2007-08-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.54
23,2007-08-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.07
24,2007-08-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.92
25,2007-08-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.14
26,2007-08-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.8
27,2007-08-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.86
28,2007-09-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.09
29,2007-09-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.26
30,2007-09-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.54
31,2007-09-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.88
32,2007-09-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.69
33,2007-09-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.53
34,2007-09-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.49
35,2007-09-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.75
36,2007-09-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.53
37,2007-09-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.86
38,2007-09-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.35
39,2007-09-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.86
40,2007-09-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.76
41,2007-09-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.11
42,2007-09-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.06
43,2007-09-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.3
44,2007-09-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.48
45,2007-09-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.07
46,2007-09-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.14
47,2007-10-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.86
48,2007-10-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.7
49,2007-10-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.42
50,2007-10-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.64
51,2007-10-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.13
52,2007-10-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.64
53,2007-10-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.27
54,2007-10-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.12
55,2007-10-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.37
56,2007-10-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.52
57,2007-10-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.08
58,2007-10-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.38
59,2007-10-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.9
60,2007-10-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.02
61,2007-10-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.95
62,2007-10-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.78
63,2007-10-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.6
64,2007-10-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.44
65,2007-10-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.62
66,2007-10-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.57
67,2007-10-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,52.04
68,2007-10-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.66
69,2007-10-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,52.36
70,2007-11-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.05
71,2007-11-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.35
72,2007-11-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.76
73,2007-11-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.48
74,2007-11-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.49
75,2007-11-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.83
76,2007-11-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.64
77,2007-11-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.85
78,2007-11-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.29
79,2007-11-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.11
80,2007-11-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.2
81,2007-11-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.39
82,2007-11-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.15
83,2007-11-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.14
84,2007-11-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.14
85,2007-11-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.18
86,2007-11-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.43
87,2007-11-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.25
88,2007-11-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.53
89,2007-11-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.21
90,2007-11-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.39
91,2007-12-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.2
92,2007-12-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.85
93,2007-12-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.55
94,2007-12-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.02
95,2007-12-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.82
96,2007-12-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,51.31
97,2007-12-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.06
98,2007-12-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,50.852
99,2007-12-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,49.989
100,2007-12-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.64
101,2007-12-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.59
102,2007-12-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.11
103,2007-12-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.78
104,2007-12-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.94
105,2007-12-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.73
106,2007-12-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.95
107,2007-12-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.2199
108,2007-12-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.778
109,2007-12-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,48.285
110,2007-12-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.92
111,2008-01-02,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.81
112,2008-01-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,47.89
113,2008-01-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.84
114,2008-01-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.9
115,2008-01-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.52
116,2008-01-09,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.82
117,2008-01-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.77
118,2008-01-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.96
119,2008-01-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,46.7
120,2008-01-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.2299
121,2008-01-16,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.3
122,2008-01-17,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.55
123,2008-01-18,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.71
124,2008-01-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.47
125,2008-01-23,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.38
126,2008-01-24,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.56
127,2008-01-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.37
128,2008-01-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.71
129,2008-01-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.02
130,2008-01-30,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.73
131,2008-01-31,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.38
132,2008-02-01,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.0
133,2008-02-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.54
134,2008-02-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.76
135,2008-02-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.65
136,2008-02-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.35
137,2008-02-08,VANGUARD FTSE DEVEL MKTS ETF,VEA,41.94
138,2008-02-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.09
139,2008-02-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.91
140,2008-02-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.16
141,2008-02-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.12
142,2008-02-15,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.1801
143,2008-02-19,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.79
144,2008-02-20,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.39
145,2008-02-21,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.46
146,2008-02-22,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.92
147,2008-02-25,VANGUARD FTSE DEVEL MKTS ETF,VEA,44.57
148,2008-02-26,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.33
149,2008-02-27,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.4
150,2008-02-28,VANGUARD FTSE DEVEL MKTS ETF,VEA,45.04
151,2008-02-29,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.93
152,2008-03-03,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.94
153,2008-03-04,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.37
154,2008-03-05,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.81
155,2008-03-06,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.36
156,2008-03-07,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.78
157,2008-03-10,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.36
158,2008-03-11,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.72
159,2008-03-12,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.75
160,2008-03-13,VANGUARD FTSE DEVEL MKTS ETF,VEA,43.79
161,2008-03-14,VANGUARD FTSE DEVEL MKTS ETF,VEA,42.83
