,datadate,conm,tic,prccd
0,2004-11-18,SPDR GOLD TRUST,GLD,44.38
1,2004-11-19,SPDR GOLD TRUST,GLD,44.78
2,2004-11-22,SPDR GOLD TRUST,GLD,44.95
3,2004-11-23,SPDR GOLD TRUST,GLD,44.75
4,2004-11-24,SPDR GOLD TRUST,GLD,45.05
5,2004-11-26,SPDR GOLD TRUST,GLD,45.29
6,2004-11-29,SPDR GOLD TRUST,GLD,45.4
7,2004-11-30,SPDR GOLD TRUST,GLD,45.12
8,2004-12-01,SPDR GOLD TRUST,GLD,45.38
9,2004-12-02,SPDR GOLD TRUST,GLD,44.95
10,2004-12-03,SPDR GOLD TRUST,GLD,45.6
11,2004-12-06,SPDR GOLD TRUST,GLD,45.17
12,2004-12-07,SPDR GOLD TRUST,GLD,45.11
13,2004-12-08,SPDR GOLD TRUST,GLD,44.01
14,2004-12-09,SPDR GOLD TRUST,GLD,43.78
15,2004-12-10,SPDR GOLD TRUST,GLD,43.44
16,2004-12-13,SPDR GOLD TRUST,GLD,43.91
17,2004-12-14,SPDR GOLD TRUST,GLD,43.55
18,2004-12-15,SPDR GOLD TRUST,GLD,43.99
19,2004-12-16,SPDR GOLD TRUST,GLD,43.68
20,2004-12-17,SPDR GOLD TRUST,GLD,44.19
21,2004-12-20,SPDR GOLD TRUST,GLD,44.34
22,2004-12-21,SPDR GOLD TRUST,GLD,44.22
23,2004-12-22,SPDR GOLD TRUST,GLD,44.02
24,2004-12-23,SPDR GOLD TRUST,GLD,44.27
25,2004-12-27,SPDR GOLD TRUST,GLD,44.48
26,2004-12-28,SPDR GOLD TRUST,GLD,44.37
27,2004-12-29,SPDR GOLD TRUST,GLD,43.66
28,2004-12-30,SPDR GOLD TRUST,GLD,43.83
29,2004-12-31,SPDR GOLD TRUST,GLD,43.8
30,2005-01-03,SPDR GOLD TRUST,GLD,43.02
31,2005-01-04,SPDR GOLD TRUST,GLD,42.74
32,2005-01-05,SPDR GOLD TRUST,GLD,42.67
33,2005-01-06,SPDR GOLD TRUST,GLD,42.15
34,2005-01-07,SPDR GOLD TRUST,GLD,41.84
35,2005-01-10,SPDR GOLD TRUST,GLD,41.95
36,2005-01-11,SPDR GOLD TRUST,GLD,42.21
37,2005-01-12,SPDR GOLD TRUST,GLD,42.6
38,2005-01-13,SPDR GOLD TRUST,GLD,42.6
39,2005-01-14,SPDR GOLD TRUST,GLD,42.32
40,2005-01-18,SPDR GOLD TRUST,GLD,42.32
41,2005-01-19,SPDR GOLD TRUST,GLD,42.26
42,2005-01-20,SPDR GOLD TRUST,GLD,42.25
43,2005-01-21,SPDR GOLD TRUST,GLD,42.74
44,2005-01-24,SPDR GOLD TRUST,GLD,42.77
45,2005-01-25,SPDR GOLD TRUST,GLD,42.24
46,2005-01-26,SPDR GOLD TRUST,GLD,42.69
47,2005-01-27,SPDR GOLD TRUST,GLD,42.62
48,2005-01-28,SPDR GOLD TRUST,GLD,42.69
49,2005-01-31,SPDR GOLD TRUST,GLD,42.22
50,2005-02-01,SPDR GOLD TRUST,GLD,42.1
51,2005-02-02,SPDR GOLD TRUST,GLD,42.16
52,2005-02-03,SPDR GOLD TRUST,GLD,41.68
53,2005-02-04,SPDR GOLD TRUST,GLD,41.47
54,2005-02-07,SPDR GOLD TRUST,GLD,41.27
55,2005-02-08,SPDR GOLD TRUST,GLD,41.26
56,2005-02-09,SPDR GOLD TRUST,GLD,41.31
57,2005-02-10,SPDR GOLD TRUST,GLD,41.75
58,2005-02-11,SPDR GOLD TRUST,GLD,42.08
59,2005-02-14,SPDR GOLD TRUST,GLD,42.55
60,2005-02-15,SPDR GOLD TRUST,GLD,42.58
61,2005-02-16,SPDR GOLD TRUST,GLD,42.52
62,2005-02-17,SPDR GOLD TRUST,GLD,42.73
63,2005-02-18,SPDR GOLD TRUST,GLD,42.75
64,2005-02-22,SPDR GOLD TRUST,GLD,43.57
65,2005-02-23,SPDR GOLD TRUST,GLD,43.42
66,2005-02-24,SPDR GOLD TRUST,GLD,43.33
67,2005-02-25,SPDR GOLD TRUST,GLD,43.5
68,2005-02-28,SPDR GOLD TRUST,GLD,43.52
69,2005-03-01,SPDR GOLD TRUST,GLD,43.22
70,2005-03-02,SPDR GOLD TRUST,GLD,43.25
71,2005-03-03,SPDR GOLD TRUST,GLD,42.97
72,2005-03-04,SPDR GOLD TRUST,GLD,43.38
73,2005-03-07,SPDR GOLD TRUST,GLD,43.47
74,2005-03-08,SPDR GOLD TRUST,GLD,44.03
75,2005-03-09,SPDR GOLD TRUST,GLD,44.02
76,2005-03-10,SPDR GOLD TRUST,GLD,44.2
77,2005-03-11,SPDR GOLD TRUST,GLD,44.43
78,2005-03-14,SPDR GOLD TRUST,GLD,44.03
79,2005-03-15,SPDR GOLD TRUST,GLD,44.06
80,2005-03-16,SPDR GOLD TRUST,GLD,44.31
81,2005-03-17,SPDR GOLD TRUST,GLD,43.82
82,2005-03-18,SPDR GOLD TRUST,GLD,43.892
83,2005-03-21,SPDR GOLD TRUST,GLD,43.09
84,2005-03-22,SPDR GOLD TRUST,GLD,42.65
85,2005-03-23,SPDR GOLD TRUST,GLD,42.42
86,2005-03-24,SPDR GOLD TRUST,GLD,42.39
87,2005-03-28,SPDR GOLD TRUST,GLD,42.54
88,2005-03-29,SPDR GOLD TRUST,GLD,42.56
89,2005-03-30,SPDR GOLD TRUST,GLD,42.61
90,2005-03-31,SPDR GOLD TRUST,GLD,42.82
91,2005-04-01,SPDR GOLD TRUST,GLD,42.62
