,datadate,conm,tic,prccd
0,1984-01-02,ISHARES 3-7 YR TREAS BD ETF,IEI,
1,2007-01-11,ISHARES 3-7 YR TREAS BD ETF,IEI,99.92
2,2007-01-12,ISHARES 3-7 YR TREAS BD ETF,IEI,99.93
3,2007-01-16,ISHARES 3-7 YR TREAS BD ETF,IEI,99.83
4,2007-01-17,ISHARES 3-7 YR TREAS BD ETF,IEI,99.82
5,2007-01-18,ISHARES 3-7 YR TREAS BD ETF,IEI,99.91
6,2007-01-19,ISHARES 3-7 YR TREAS BD ETF,IEI,99.8
7,2007-01-22,ISHARES 3-7 YR TREAS BD ETF,IEI,99.85
8,2007-01-23,ISHARES 3-7 YR TREAS BD ETF,IEI,99.71
9,2007-01-24,ISHARES 3-7 YR TREAS BD ETF,IEI,99.75
10,2007-01-25,ISHARES 3-7 YR TREAS BD ETF,IEI,99.55
11,2007-01-26,ISHARES 3-7 YR TREAS BD ETF,IEI,99.56
12,2007-01-29,ISHARES 3-7 YR TREAS BD ETF,IEI,99.53
13,2007-01-30,ISHARES 3-7 YR TREAS BD ETF,IEI,99.58
14,2007-01-31,ISHARES 3-7 YR TREAS BD ETF,IEI,99.84
15,2007-02-01,ISHARES 3-7 YR TREAS BD ETF,IEI,99.53
16,2007-02-02,ISHARES 3-7 YR TREAS BD ETF,IEI,99.58
17,2007-02-05,ISHARES 3-7 YR TREAS BD ETF,IEI,99.71
18,2007-02-06,ISHARES 3-7 YR TREAS BD ETF,IEI,99.88
19,2007-02-07,ISHARES 3-7 YR TREAS BD ETF,IEI,99.99
20,2007-02-08,ISHARES 3-7 YR TREAS BD ETF,IEI,100.03
21,2007-02-09,ISHARES 3-7 YR TREAS BD ETF,IEI,99.81
22,2007-02-12,ISHARES 3-7 YR TREAS BD ETF,IEI,99.73
23,2007-02-13,ISHARES 3-7 YR TREAS BD ETF,IEI,99.69
24,2007-02-14,ISHARES 3-7 YR TREAS BD ETF,IEI,100.12
25,2007-02-15,ISHARES 3-7 YR TREAS BD ETF,IEI,100.27
26,2007-02-16,ISHARES 3-7 YR TREAS BD ETF,IEI,100.28
27,2007-02-20,ISHARES 3-7 YR TREAS BD ETF,IEI,100.27
28,2007-02-21,ISHARES 3-7 YR TREAS BD ETF,IEI,100.36
29,2007-02-22,ISHARES 3-7 YR TREAS BD ETF,IEI,100.21
30,2007-02-23,ISHARES 3-7 YR TREAS BD ETF,IEI,100.42
31,2007-02-26,ISHARES 3-7 YR TREAS BD ETF,IEI,100.59
32,2007-02-27,ISHARES 3-7 YR TREAS BD ETF,IEI,101.2
33,2007-02-28,ISHARES 3-7 YR TREAS BD ETF,IEI,101.02
34,2007-03-01,ISHARES 3-7 YR TREAS BD ETF,IEI,100.68
35,2007-03-02,ISHARES 3-7 YR TREAS BD ETF,IEI,100.96
36,2007-03-05,ISHARES 3-7 YR TREAS BD ETF,IEI,100.99
37,2007-03-06,ISHARES 3-7 YR TREAS BD ETF,IEI,100.89
38,2007-03-07,ISHARES 3-7 YR TREAS BD ETF,IEI,101.03
39,2007-03-08,ISHARES 3-7 YR TREAS BD ETF,IEI,101.05
40,2007-03-09,ISHARES 3-7 YR TREAS BD ETF,IEI,100.69
41,2007-03-12,ISHARES 3-7 YR TREAS BD ETF,IEI,100.87
42,2007-03-13,ISHARES 3-7 YR TREAS BD ETF,IEI,101.18
43,2007-03-14,ISHARES 3-7 YR TREAS BD ETF,IEI,101.16
44,2007-03-15,ISHARES 3-7 YR TREAS BD ETF,IEI,101.06
45,2007-03-16,ISHARES 3-7 YR TREAS BD ETF,IEI,101.08
46,2007-03-19,ISHARES 3-7 YR TREAS BD ETF,IEI,100.91
47,2007-03-20,ISHARES 3-7 YR TREAS BD ETF,IEI,101.07
48,2007-03-21,ISHARES 3-7 YR TREAS BD ETF,IEI,101.27
49,2007-03-22,ISHARES 3-7 YR TREAS BD ETF,IEI,101.08
50,2007-03-23,ISHARES 3-7 YR TREAS BD ETF,IEI,100.98
51,2007-03-26,ISHARES 3-7 YR TREAS BD ETF,IEI,101.11
52,2007-03-27,ISHARES 3-7 YR TREAS BD ETF,IEI,101.09
53,2007-03-28,ISHARES 3-7 YR TREAS BD ETF,IEI,101.12
54,2007-03-29,ISHARES 3-7 YR TREAS BD ETF,IEI,101.01
55,2007-03-30,ISHARES 3-7 YR TREAS BD ETF,IEI,101.0
56,2007-04-02,ISHARES 3-7 YR TREAS BD ETF,IEI,100.64
57,2007-04-03,ISHARES 3-7 YR TREAS BD ETF,IEI,100.55
58,2007-04-04,ISHARES 3-7 YR TREAS BD ETF,IEI,100.79
59,2007-04-05,ISHARES 3-7 YR TREAS BD ETF,IEI,100.62
60,2007-04-09,ISHARES 3-7 YR TREAS BD ETF,IEI,100.22
61,2007-04-10,ISHARES 3-7 YR TREAS BD ETF,IEI,100.35
62,2007-04-11,ISHARES 3-7 YR TREAS BD ETF,IEI,100.34
63,2007-04-12,ISHARES 3-7 YR TREAS BD ETF,IEI,100.32
64,2007-04-13,ISHARES 3-7 YR TREAS BD ETF,IEI,100.21
65,2007-04-16,ISHARES 3-7 YR TREAS BD ETF,IEI,100.28
66,2007-04-17,ISHARES 3-7 YR TREAS BD ETF,IEI,100.6
67,2007-04-18,ISHARES 3-7 YR TREAS BD ETF,IEI,100.75
68,2007-04-19,ISHARES 3-7 YR TREAS BD ETF,IEI,100.75
69,2007-04-20,ISHARES 3-7 YR TREAS BD ETF,IEI,100.72
70,2007-04-23,ISHARES 3-7 YR TREAS BD ETF,IEI,100.86
71,2007-04-24,ISHARES 3-7 YR TREAS BD ETF,IEI,101.03
72,2007-04-25,ISHARES 3-7 YR TREAS BD ETF,IEI,100.92
73,2007-04-26,ISHARES 3-7 YR TREAS BD ETF,IEI,100.76
74,2007-04-27,ISHARES 3-7 YR TREAS BD ETF,IEI,100.76
75,2007-04-30,ISHARES 3-7 YR TREAS BD ETF,IEI,101.06
76,2007-05-01,ISHARES 3-7 YR TREAS BD ETF,IEI,100.63
77,2007-05-02,ISHARES 3-7 YR TREAS BD ETF,IEI,100.59
78,2007-05-03,ISHARES 3-7 YR TREAS BD ETF,IEI,100.5
79,2007-05-04,ISHARES 3-7 YR TREAS BD ETF,IEI,100.65
80,2007-05-07,ISHARES 3-7 YR TREAS BD ETF,IEI,100.69
81,2007-05-08,ISHARES 3-7 YR TREAS BD ETF,IEI,100.71
82,2007-05-09,ISHARES 3-7 YR TREAS BD ETF,IEI,100.55
83,2007-05-10,ISHARES 3-7 YR TREAS BD ETF,IEI,100.65
84,2007-05-11,ISHARES 3-7 YR TREAS BD ETF,IEI,100.58
85,2007-05-14,ISHARES 3-7 YR TREAS BD ETF,IEI,100.43
86,2007-05-15,ISHARES 3-7 YR TREAS BD ETF,IEI,100.44
87,2007-05-16,ISHARES 3-7 YR TREAS BD ETF,IEI,100.51
88,2007-05-17,ISHARES 3-7 YR TREAS BD ETF,IEI,100.28
89,2007-05-18,ISHARES 3-7 YR TREAS BD ETF,IEI,100.1
90,2007-05-21,ISHARES 3-7 YR TREAS BD ETF,IEI,100.24
91,2007-05-22,ISHARES 3-7 YR TREAS BD ETF,IEI,99.99
92,2007-05-23,ISHARES 3-7 YR TREAS BD ETF,IEI,99.99
93,2007-05-24,ISHARES 3-7 YR TREAS BD ETF,IEI,100.03
94,2007-05-25,ISHARES 3-7 YR TREAS BD ETF,IEI,99.93
95,2007-05-29,ISHARES 3-7 YR TREAS BD ETF,IEI,99.84
96,2007-05-30,ISHARES 3-7 YR TREAS BD ETF,IEI,99.9
97,2007-05-31,ISHARES 3-7 YR TREAS BD ETF,IEI,99.81
98,2007-06-01,ISHARES 3-7 YR TREAS BD ETF,IEI,99.12
99,2007-06-04,ISHARES 3-7 YR TREAS BD ETF,IEI,99.25
100,2007-06-05,ISHARES 3-7 YR TREAS BD ETF,IEI,99.04
101,2007-06-06,ISHARES 3-7 YR TREAS BD ETF,IEI,99.2
102,2007-06-07,ISHARES 3-7 YR TREAS BD ETF,IEI,98.75
103,2007-06-08,ISHARES 3-7 YR TREAS BD ETF,IEI,98.75
104,2007-06-11,ISHARES 3-7 YR TREAS BD ETF,IEI,98.77
105,2007-06-12,ISHARES 3-7 YR TREAS BD ETF,IEI,98.35
106,2007-06-13,ISHARES 3-7 YR TREAS BD ETF,IEI,98.51
107,2007-06-14,ISHARES 3-7 YR TREAS BD ETF,IEI,98.47
108,2007-06-15,ISHARES 3-7 YR TREAS BD ETF,IEI,98.76
109,2007-06-18,ISHARES 3-7 YR TREAS BD ETF,IEI,98.8299
110,2007-06-19,ISHARES 3-7 YR TREAS BD ETF,IEI,99.1
111,2007-06-20,ISHARES 3-7 YR TREAS BD ETF,IEI,98.96
112,2007-06-21,ISHARES 3-7 YR TREAS BD ETF,IEI,98.89
113,2007-06-22,ISHARES 3-7 YR TREAS BD ETF,IEI,99.1
114,2007-06-25,ISHARES 3-7 YR TREAS BD ETF,IEI,99.23
115,2007-06-26,ISHARES 3-7 YR TREAS BD ETF,IEI,99.28
116,2007-06-27,ISHARES 3-7 YR TREAS BD ETF,IEI,99.4
117,2007-06-28,ISHARES 3-7 YR TREAS BD ETF,IEI,99.26
118,2007-06-29,ISHARES 3-7 YR TREAS BD ETF,IEI,99.58
119,2007-07-02,ISHARES 3-7 YR TREAS BD ETF,IEI,99.33
120,2007-07-03,ISHARES 3-7 YR TREAS BD ETF,IEI,99.19
121,2007-07-05,ISHARES 3-7 YR TREAS BD ETF,IEI,98.78
122,2007-07-06,ISHARES 3-7 YR TREAS BD ETF,IEI,98.63
123,2007-07-09,ISHARES 3-7 YR TREAS BD ETF,IEI,98.73
124,2007-07-10,ISHARES 3-7 YR TREAS BD ETF,IEI,99.31
125,2007-07-11,ISHARES 3-7 YR TREAS BD ETF,IEI,99.07
126,2007-07-12,ISHARES 3-7 YR TREAS BD ETF,IEI,98.96
127,2007-07-13,ISHARES 3-7 YR TREAS BD ETF,IEI,99.04
128,2007-07-16,ISHARES 3-7 YR TREAS BD ETF,IEI,99.27
129,2007-07-17,ISHARES 3-7 YR TREAS BD ETF,IEI,99.19
130,2007-07-18,ISHARES 3-7 YR TREAS BD ETF,IEI,99.44
131,2007-07-19,ISHARES 3-7 YR TREAS BD ETF,IEI,99.4
132,2007-07-20,ISHARES 3-7 YR TREAS BD ETF,IEI,99.76
133,2007-07-23,ISHARES 3-7 YR TREAS BD ETF,IEI,99.76
134,2007-07-24,ISHARES 3-7 YR TREAS BD ETF,IEI,99.94
135,2007-07-25,ISHARES 3-7 YR TREAS BD ETF,IEI,100.03
136,2007-07-26,ISHARES 3-7 YR TREAS BD ETF,IEI,100.7
137,2007-07-27,ISHARES 3-7 YR TREAS BD ETF,IEI,100.79
138,2007-07-30,ISHARES 3-7 YR TREAS BD ETF,IEI,100.58
139,2007-07-31,ISHARES 3-7 YR TREAS BD ETF,IEI,100.81
140,2007-08-01,ISHARES 3-7 YR TREAS BD ETF,IEI,100.25
141,2007-08-02,ISHARES 3-7 YR TREAS BD ETF,IEI,100.44
142,2007-08-03,ISHARES 3-7 YR TREAS BD ETF,IEI,100.85
143,2007-08-06,ISHARES 3-7 YR TREAS BD ETF,IEI,100.53
144,2007-08-07,ISHARES 3-7 YR TREAS BD ETF,IEI,100.39
145,2007-08-08,ISHARES 3-7 YR TREAS BD ETF,IEI,100.23
146,2007-08-09,ISHARES 3-7 YR TREAS BD ETF,IEI,100.66
147,2007-08-10,ISHARES 3-7 YR TREAS BD ETF,IEI,100.52
148,2007-08-13,ISHARES 3-7 YR TREAS BD ETF,IEI,100.7
149,2007-08-14,ISHARES 3-7 YR TREAS BD ETF,IEI,101.92
150,2007-08-15,ISHARES 3-7 YR TREAS BD ETF,IEI,101.14
151,2007-08-16,ISHARES 3-7 YR TREAS BD ETF,IEI,101.87
152,2007-08-17,ISHARES 3-7 YR TREAS BD ETF,IEI,101.55
153,2007-08-20,ISHARES 3-7 YR TREAS BD ETF,IEI,101.76
154,2007-08-21,ISHARES 3-7 YR TREAS BD ETF,IEI,102.05
155,2007-08-22,ISHARES 3-7 YR TREAS BD ETF,IEI,101.73
156,2007-08-23,ISHARES 3-7 YR TREAS BD ETF,IEI,101.6
157,2007-08-24,ISHARES 3-7 YR TREAS BD ETF,IEI,101.53
158,2007-08-27,ISHARES 3-7 YR TREAS BD ETF,IEI,101.71
159,2007-08-28,ISHARES 3-7 YR TREAS BD ETF,IEI,102.3
160,2007-08-29,ISHARES 3-7 YR TREAS BD ETF,IEI,101.95
161,2007-08-30,ISHARES 3-7 YR TREAS BD ETF,IEI,102.33
162,2007-08-31,ISHARES 3-7 YR TREAS BD ETF,IEI,102.3
163,2007-09-04,ISHARES 3-7 YR TREAS BD ETF,IEI,101.85
164,2007-09-05,ISHARES 3-7 YR TREAS BD ETF,IEI,102.35
165,2007-09-06,ISHARES 3-7 YR TREAS BD ETF,IEI,102.1
166,2007-09-07,ISHARES 3-7 YR TREAS BD ETF,IEI,102.78
167,2007-09-10,ISHARES 3-7 YR TREAS BD ETF,IEI,103.0
168,2007-09-11,ISHARES 3-7 YR TREAS BD ETF,IEI,102.74
169,2007-09-12,ISHARES 3-7 YR TREAS BD ETF,IEI,102.67
170,2007-09-13,ISHARES 3-7 YR TREAS BD ETF,IEI,102.24
171,2007-09-14,ISHARES 3-7 YR TREAS BD ETF,IEI,102.34
172,2007-09-17,ISHARES 3-7 YR TREAS BD ETF,IEI,102.32
173,2007-09-18,ISHARES 3-7 YR TREAS BD ETF,IEI,102.45
174,2007-09-19,ISHARES 3-7 YR TREAS BD ETF,IEI,102.4
175,2007-09-20,ISHARES 3-7 YR TREAS BD ETF,IEI,101.65
176,2007-09-21,ISHARES 3-7 YR TREAS BD ETF,IEI,101.95
177,2007-09-24,ISHARES 3-7 YR TREAS BD ETF,IEI,102.04
178,2007-09-25,ISHARES 3-7 YR TREAS BD ETF,IEI,102.171
179,2007-09-26,ISHARES 3-7 YR TREAS BD ETF,IEI,102.22
180,2007-09-27,ISHARES 3-7 YR TREAS BD ETF,IEI,102.45
181,2007-09-28,ISHARES 3-7 YR TREAS BD ETF,IEI,102.4
182,2007-10-01,ISHARES 3-7 YR TREAS BD ETF,IEI,102.09
183,2007-10-02,ISHARES 3-7 YR TREAS BD ETF,IEI,102.24
184,2007-10-03,ISHARES 3-7 YR TREAS BD ETF,IEI,102.13
185,2007-10-04,ISHARES 3-7 YR TREAS BD ETF,IEI,102.23
186,2007-10-05,ISHARES 3-7 YR TREAS BD ETF,IEI,101.75
187,2007-10-08,ISHARES 3-7 YR TREAS BD ETF,IEI,101.99
188,2007-10-09,ISHARES 3-7 YR TREAS BD ETF,IEI,101.61
189,2007-10-10,ISHARES 3-7 YR TREAS BD ETF,IEI,101.66
190,2007-10-11,ISHARES 3-7 YR TREAS BD ETF,IEI,101.71
191,2007-10-12,ISHARES 3-7 YR TREAS BD ETF,IEI,101.57
192,2007-10-15,ISHARES 3-7 YR TREAS BD ETF,IEI,101.49
193,2007-10-16,ISHARES 3-7 YR TREAS BD ETF,IEI,101.72
194,2007-10-17,ISHARES 3-7 YR TREAS BD ETF,IEI,102.0595
195,2007-10-18,ISHARES 3-7 YR TREAS BD ETF,IEI,102.53
196,2007-10-19,ISHARES 3-7 YR TREAS BD ETF,IEI,102.94
197,2007-10-22,ISHARES 3-7 YR TREAS BD ETF,IEI,102.94
198,2007-10-23,ISHARES 3-7 YR TREAS BD ETF,IEI,102.9
199,2007-10-24,ISHARES 3-7 YR TREAS BD ETF,IEI,103.282
200,2007-10-25,ISHARES 3-7 YR TREAS BD ETF,IEI,103.3
201,2007-10-26,ISHARES 3-7 YR TREAS BD ETF,IEI,103.21
202,2007-10-29,ISHARES 3-7 YR TREAS BD ETF,IEI,103.19
