,gvkeyx,dvpsxd,newnum,oldnum,prccd,prccddiv,prccddivn,prchd,prcld,datadate
0,000003,,,,156.3,,,156.3,156.3,1984-02-10
1,000003,,,,154.95,,,154.95,154.95,1984-02-13
2,000003,,,,156.61,,,156.61,156.61,1984-02-14
3,000003,,,,156.25,,,156.25,156.25,1984-02-15
4,000003,,,,156.13,,,156.13,156.13,1984-02-16
5,000003,,,,155.74,,,155.74,155.74,1984-02-17
6,000003,,,,154.64,,,154.64,154.64,1984-02-21
7,000003,,,,154.31,,,154.31,154.31,1984-02-22
8,000003,,,,154.29,,,154.29,154.29,1984-02-23
9,000003,,,,157.51,,,157.51,157.51,1984-02-24
10,000003,,,,159.3,,,159.3,159.3,1984-02-27
11,000003,,,,156.82,,,156.82,156.82,1984-02-28
12,000003,,,,157.06,,,157.06,157.06,1984-02-29
13,000003,,,,158.19,,,158.19,158.19,1984-03-01
14,000003,,,,159.24,,,159.24,159.24,1984-03-02
15,000003,,,,157.89,,,157.89,157.89,1984-03-05
16,000003,,,,164.93,,,164.93,164.93,1983-12-30
17,000003,,,,164.04,,,164.04,164.04,1984-01-03
18,000003,,,,166.78,,,166.78,166.78,1984-01-04
19,000003,,,,168.81,,,168.81,168.81,1984-01-05
20,000003,,,,169.28,,,169.28,169.28,1984-01-06
21,000003,,,,168.9,,,168.9,168.9,1984-01-09
22,000003,,,,167.95,,,167.95,167.95,1984-01-10
23,000003,,,,167.79,,,167.79,167.79,1984-01-11
24,000003,,,,167.75,,,167.75,167.75,1984-01-12
25,000003,,,,167.02,,,167.02,167.02,1984-01-13
26,000003,,,,167.18,,,167.18,167.18,1984-01-16
27,000003,,,,167.83,,,167.83,167.83,1984-01-17
28,000003,,,,167.55,,,167.55,167.55,1984-01-18
29,000003,,,,167.04,,,167.04,167.04,1984-01-19
30,000003,,,,166.21,,,166.21,166.21,1984-01-20
31,000003,,,,164.87,,,164.87,164.87,1984-01-23
32,000003,,,,165.94,,,165.94,165.94,1984-01-24
33,000003,,,,164.84,,,164.84,164.84,1984-01-25
34,000003,,,,164.24,,,164.24,164.24,1984-01-26
35,000003,,,,163.94,,,163.94,163.94,1984-01-27
36,000003,,,,162.87,,,162.87,162.87,1984-01-30
37,000003,,,,163.41,,,163.41,163.41,1984-01-31
38,000003,,,,162.74,,,162.74,162.74,1984-02-01
39,000003,,,,163.36,,,163.36,163.36,1984-02-02
40,000003,,,,160.91,,,160.91,160.91,1984-02-03
41,000003,,,,158.08,,,158.08,158.08,1984-02-06
42,000003,,,,158.74,,,158.74,158.74,1984-02-07
43,000003,,,,155.85,,,155.85,155.85,1984-02-08
44,000003,,,,155.42,,,155.42,155.42,1984-02-09
45,000003,,,,156.25,,,156.25,156.25,1984-03-06
46,000003,,,,154.57,,,154.57,154.57,1984-03-07
47,000003,,,,155.19,,,155.19,155.19,1984-03-08
48,000003,,,,154.35,,,154.35,154.35,1984-03-09
49,000003,,,,156.34,,,156.34,156.34,1984-03-12
50,000003,,,,156.78,,,156.78,156.78,1984-03-13
51,000003,,,,156.77,,,156.77,156.77,1984-03-14
52,000003,,,,157.41,,,157.41,157.41,1984-03-15
53,000003,,,,159.27,,,159.27,159.27,1984-03-16
54,000003,,,,157.78,,,157.78,157.78,1984-03-19
55,000003,,,,158.86,,,158.86,158.86,1984-03-20
56,000003,,,,158.66,,,158.66,158.66,1984-03-21
57,000003,,,,156.69,,,156.69,156.69,1984-03-22
58,000003,,,,156.86,,,156.86,156.86,1984-03-23
59,000003,,,,156.67,,,156.67,156.67,1984-03-26
60,000003,,,,157.3,,,157.3,157.3,1984-03-27
61,000003,,,,159.88,,,159.88,159.88,1984-03-28
62,000003,,,,159.52,,,159.52,159.52,1984-03-29
63,000003,,,,159.18,,,159.18,159.18,1984-03-30
64,000003,,,,157.98,,,157.98,157.98,1984-04-02
65,000003,,,,157.66,,,157.66,157.66,1984-04-03
66,000003,,,,157.54,,,157.54,157.54,1984-04-04
67,000003,,,,155.04,,,155.04,155.04,1984-04-05
68,000003,,,,155.48,,,155.48,155.48,1984-04-06
69,000003,,,,155.45,,,155.45,155.45,1984-04-09
70,000003,,,,155.87,,,155.87,155.87,1984-04-10
71,000003,,,,155.0,,,155.0,155.0,1984-04-11
72,000003,,,,157.73,,,157.73,157.73,1984-04-12
73,000003,,,,157.31,,,157.31,157.31,1984-04-13
74,000003,,,,158.32,,,158.32,158.32,1984-04-16
75,000003,,,,158.97,,,158.97,158.97,1984-04-17
76,000003,,,,157.9,,,157.9,157.9,1984-04-18
77,000003,,,,158.02,,,158.02,158.02,1984-04-19
78,000003,,,,156.8,,,156.8,156.8,1984-04-23
79,000003,,,,158.07,,,158.07,158.07,1984-04-24
80,000003,,,,158.65,,,158.65,158.65,1984-04-25
81,000003,,,,160.3,,,160.3,160.3,1984-04-26
82,000003,,,,159.89,,,159.89,159.89,1984-04-27
83,000003,,,,160.05,,,160.05,160.05,1984-04-30
84,000003,,,,161.68,,,161.68,161.68,1984-05-01
85,000003,,,,161.9,,,161.9,161.9,1984-05-02
86,000003,,,,161.2,,,161.2,161.2,1984-05-03
87,000003,,,,159.11,,,159.11,159.11,1984-05-04
88,000003,,,,159.47,,,159.47,159.47,1984-05-07
89,000003,,,,160.52,,,160.52,160.52,1984-05-08
90,000003,,,,160.11,,,160.11,160.11,1984-05-09
91,000003,,,,160.0,,,160.0,160.0,1984-05-10
92,000003,,,,158.49,,,158.49,158.49,1984-05-11
93,000003,,,,157.5,,,157.5,157.5,1984-05-14
94,000003,,,,158.0,,,158.0,158.0,1984-05-15
95,000003,,,,157.99,,,157.99,157.99,1984-05-16
96,000003,,,,156.57,,,156.57,156.57,1984-05-17
97,000003,,,,155.78,,,155.78,155.78,1984-05-18
98,000003,,,,154.73,,,154.73,154.73,1984-05-21
99,000003,,,,153.88,,,153.88,153.88,1984-05-22
100,000003,,,,153.15,,,153.15,153.15,1984-05-23
101,000003,,,,151.23,,,151.23,151.23,1984-05-24
102,000003,,,,151.62,,,151.62,151.62,1984-05-25
103,000003,,,,150.29,,,150.29,150.29,1984-05-29
104,000003,,,,150.35,,,150.35,150.35,1984-05-30
105,000003,,,,150.55,,,150.55,150.55,1984-05-31
106,000003,,,,153.24,,,153.24,153.24,1984-06-01
107,000003,,,,154.34,,,154.34,154.34,1984-06-04
108,000003,,,,153.65,,,153.65,153.65,1984-06-05
109,000003,,,,155.01,,,155.01,155.01,1984-06-06
110,000003,,,,154.92,,,154.92,154.92,1984-06-07
111,000003,,,,155.17,,,155.17,155.17,1984-06-08
112,000003,,,,153.06,,,153.06,153.06,1984-06-11
113,000003,,,,152.19,,,152.19,152.19,1984-06-12
114,000003,,,,152.13,,,152.13,152.13,1984-06-13
115,000003,,,,150.39,,,150.39,150.39,1984-06-14
116,000003,,,,149.03,,,149.03,149.03,1984-06-15
117,000003,,,,151.73,,,151.73,151.73,1984-06-18
118,000003,,,,152.61,,,152.61,152.61,1984-06-19
119,000003,,,,154.84,,,154.84,154.84,1984-06-20
120,000003,,,,154.51,,,154.51,154.51,1984-06-21
121,000003,,,,154.46,,,154.46,154.46,1984-06-22
122,000003,,,,153.97,,,153.97,153.97,1984-06-25
123,000003,,,,152.71,,,152.71,152.71,1984-06-26
124,000003,,,,151.64,,,151.64,151.64,1984-06-27
125,000003,,,,152.84,,,152.84,152.84,1984-06-28
126,000003,,,,153.18,,,153.18,153.18,1984-06-29
127,000003,,,,153.2,,,153.2,153.2,1984-07-02
128,000003,,,,153.7,,,153.7,153.7,1984-07-03
129,000003,,,,152.76,,,152.76,152.76,1984-07-05
130,000003,,,,152.24,,,152.24,152.24,1984-07-06
131,000003,,,,153.36,,,153.36,153.36,1984-07-09
132,000003,,,,152.89,,,152.89,152.89,1984-07-10
133,000003,,,,150.56,,,150.56,150.56,1984-07-11
134,000003,,,,150.03,,,150.03,150.03,1984-07-12
135,000003,,,,150.88,,,150.88,150.88,1984-07-13
136,000003,,,,151.6,,,151.6,151.6,1984-07-16
137,000003,,,,152.38,,,152.38,152.38,1984-07-17
138,000003,,,,151.4,,,151.4,151.4,1984-07-18
139,000003,,,,150.37,,,150.37,150.37,1984-07-19
140,000003,,,,149.55,,,149.55,149.55,1984-07-20
141,000003,,,,148.95,,,148.95,148.95,1984-07-23
142,000003,,,,147.82,,,147.82,147.82,1984-07-24
143,000003,,,,148.83,,,148.83,148.83,1984-07-25
144,000003,,,,150.08,,,150.08,150.08,1984-07-26
145,000003,,,,151.19,,,151.19,151.19,1984-07-27
