,datadate,conm,tic,prccd
0,2002-08-02,ISHARES 20 PLUS YR TREAS ETF,TLT,83.85
1,2002-08-05,ISHARES 20 PLUS YR TREAS ETF,TLT,84.22
2,2002-08-06,ISHARES 20 PLUS YR TREAS ETF,TLT,83.5
3,2002-08-07,ISHARES 20 PLUS YR TREAS ETF,TLT,83.7
4,2002-08-08,ISHARES 20 PLUS YR TREAS ETF,TLT,83.7
5,2002-08-09,ISHARES 20 PLUS YR TREAS ETF,TLT,84.88
6,2002-08-12,ISHARES 20 PLUS YR TREAS ETF,TLT,85.4
7,2002-08-13,ISHARES 20 PLUS YR TREAS ETF,TLT,86.45
8,2002-08-14,ISHARES 20 PLUS YR TREAS ETF,TLT,86.78
9,2002-07-30,ISHARES 20 PLUS YR TREAS ETF,TLT,81.52
10,2002-07-31,ISHARES 20 PLUS YR TREAS ETF,TLT,82.53
11,2002-08-01,ISHARES 20 PLUS YR TREAS ETF,TLT,83.0
12,1984-01-02,ISHARES 20 PLUS YR TREAS ETF,TLT,
13,2002-07-26,ISHARES 20 PLUS YR TREAS ETF,TLT,82.51
14,2002-07-29,ISHARES 20 PLUS YR TREAS ETF,TLT,81.42
15,2002-08-15,ISHARES 20 PLUS YR TREAS ETF,TLT,86.02
16,2002-08-16,ISHARES 20 PLUS YR TREAS ETF,TLT,85.06
17,2002-08-19,ISHARES 20 PLUS YR TREAS ETF,TLT,85.32
18,2002-08-20,ISHARES 20 PLUS YR TREAS ETF,TLT,86.27
19,2002-08-21,ISHARES 20 PLUS YR TREAS ETF,TLT,85.81
20,2002-08-22,ISHARES 20 PLUS YR TREAS ETF,TLT,85.06
21,2002-08-23,ISHARES 20 PLUS YR TREAS ETF,TLT,85.9
22,2002-08-26,ISHARES 20 PLUS YR TREAS ETF,TLT,85.98
23,2002-08-27,ISHARES 20 PLUS YR TREAS ETF,TLT,85.44
24,2002-08-28,ISHARES 20 PLUS YR TREAS ETF,TLT,85.87
25,2002-08-29,ISHARES 20 PLUS YR TREAS ETF,TLT,86.56
26,2002-08-30,ISHARES 20 PLUS YR TREAS ETF,TLT,87.08
27,2002-09-03,ISHARES 20 PLUS YR TREAS ETF,TLT,88.04
28,2002-09-04,ISHARES 20 PLUS YR TREAS ETF,TLT,88.02
29,2002-09-05,ISHARES 20 PLUS YR TREAS ETF,TLT,88.5
30,2002-09-06,ISHARES 20 PLUS YR TREAS ETF,TLT,87.46
31,2002-09-09,ISHARES 20 PLUS YR TREAS ETF,TLT,87.33
32,2002-09-10,ISHARES 20 PLUS YR TREAS ETF,TLT,87.75
33,2002-09-11,ISHARES 20 PLUS YR TREAS ETF,TLT,87.29
34,2002-09-12,ISHARES 20 PLUS YR TREAS ETF,TLT,87.97
35,2002-09-13,ISHARES 20 PLUS YR TREAS ETF,TLT,88.78
36,2002-09-16,ISHARES 20 PLUS YR TREAS ETF,TLT,88.93
37,2002-09-17,ISHARES 20 PLUS YR TREAS ETF,TLT,89.1
38,2002-09-18,ISHARES 20 PLUS YR TREAS ETF,TLT,89.12
39,2002-09-19,ISHARES 20 PLUS YR TREAS ETF,TLT,89.72
40,2002-09-20,ISHARES 20 PLUS YR TREAS ETF,TLT,89.3
41,2002-09-23,ISHARES 20 PLUS YR TREAS ETF,TLT,90.1
42,2002-09-24,ISHARES 20 PLUS YR TREAS ETF,TLT,90.68
43,2002-09-25,ISHARES 20 PLUS YR TREAS ETF,TLT,89.58
44,2002-09-26,ISHARES 20 PLUS YR TREAS ETF,TLT,89.37
45,2002-09-27,ISHARES 20 PLUS YR TREAS ETF,TLT,90.04
46,2002-09-30,ISHARES 20 PLUS YR TREAS ETF,TLT,90.4
47,2002-10-01,ISHARES 20 PLUS YR TREAS ETF,TLT,88.94
48,2002-10-02,ISHARES 20 PLUS YR TREAS ETF,TLT,89.45
49,2002-10-03,ISHARES 20 PLUS YR TREAS ETF,TLT,89.23
50,2002-10-04,ISHARES 20 PLUS YR TREAS ETF,TLT,89.51
51,2002-10-07,ISHARES 20 PLUS YR TREAS ETF,TLT,89.66
52,2002-10-08,ISHARES 20 PLUS YR TREAS ETF,TLT,89.69
53,2002-10-09,ISHARES 20 PLUS YR TREAS ETF,TLT,90.15
54,2002-10-10,ISHARES 20 PLUS YR TREAS ETF,TLT,89.44
55,2002-10-11,ISHARES 20 PLUS YR TREAS ETF,TLT,88.38
56,2002-10-14,ISHARES 20 PLUS YR TREAS ETF,TLT,88.25
57,2002-10-15,ISHARES 20 PLUS YR TREAS ETF,TLT,86.16
58,2002-10-16,ISHARES 20 PLUS YR TREAS ETF,TLT,86.2
59,2002-10-17,ISHARES 20 PLUS YR TREAS ETF,TLT,85.15
60,2002-10-18,ISHARES 20 PLUS YR TREAS ETF,TLT,85.37
61,2002-10-21,ISHARES 20 PLUS YR TREAS ETF,TLT,84.54
