,datadate,conm,tic,prccd
0,1984-01-02,VANGUARD SMALL-CAP ETF,VB,
1,2004-01-30,VANGUARD SMALL-CAP ETF,VB,49.0
2,2004-02-02,VANGUARD SMALL-CAP ETF,VB,49.2
3,2004-02-03,VANGUARD SMALL-CAP ETF,VB,49.07
4,2004-02-04,VANGUARD SMALL-CAP ETF,VB,48.05
5,2004-02-05,VANGUARD SMALL-CAP ETF,VB,48.2
6,2004-02-06,VANGUARD SMALL-CAP ETF,VB,49.35
7,2004-02-09,VANGUARD SMALL-CAP ETF,VB,49.69
8,2004-02-10,VANGUARD SMALL-CAP ETF,VB,49.97
9,2004-02-11,VANGUARD SMALL-CAP ETF,VB,50.55
10,2004-02-12,VANGUARD SMALL-CAP ETF,VB,50.3
11,2004-02-13,VANGUARD SMALL-CAP ETF,VB,49.8
12,2004-02-17,VANGUARD SMALL-CAP ETF,VB,50.35
13,2004-02-18,VANGUARD SMALL-CAP ETF,VB,50.3
14,2004-02-19,VANGUARD SMALL-CAP ETF,VB,50.2
15,2004-02-20,VANGUARD SMALL-CAP ETF,VB,49.44
16,2004-02-23,VANGUARD SMALL-CAP ETF,VB,48.58
17,2004-02-24,VANGUARD SMALL-CAP ETF,VB,48.68
18,2004-02-25,VANGUARD SMALL-CAP ETF,VB,48.95
19,2004-02-26,VANGUARD SMALL-CAP ETF,VB,49.5
20,2004-02-27,VANGUARD SMALL-CAP ETF,VB,50.0
21,2004-03-01,VANGUARD SMALL-CAP ETF,VB,50.49
22,2004-03-02,VANGUARD SMALL-CAP ETF,VB,50.6
23,2004-03-03,VANGUARD SMALL-CAP ETF,VB,50.55
24,2004-03-04,VANGUARD SMALL-CAP ETF,VB,50.8
25,2004-03-05,VANGUARD SMALL-CAP ETF,VB,51.24
26,2004-03-08,VANGUARD SMALL-CAP ETF,VB,50.59
27,2004-03-09,VANGUARD SMALL-CAP ETF,VB,49.98
28,2004-03-10,VANGUARD SMALL-CAP ETF,VB,49.0
29,2004-03-11,VANGUARD SMALL-CAP ETF,VB,48.75
30,2004-03-12,VANGUARD SMALL-CAP ETF,VB,49.34
31,2004-03-15,VANGUARD SMALL-CAP ETF,VB,48.47
32,2004-03-16,VANGUARD SMALL-CAP ETF,VB,48.55
33,2004-03-17,VANGUARD SMALL-CAP ETF,VB,49.45
34,2004-03-18,VANGUARD SMALL-CAP ETF,VB,48.95
35,2004-03-19,VANGUARD SMALL-CAP ETF,VB,48.93
36,2004-03-22,VANGUARD SMALL-CAP ETF,VB,47.9
37,2004-03-23,VANGUARD SMALL-CAP ETF,VB,48.12
38,2004-03-24,VANGUARD SMALL-CAP ETF,VB,48.04
39,2004-03-25,VANGUARD SMALL-CAP ETF,VB,48.64
40,2004-03-26,VANGUARD SMALL-CAP ETF,VB,48.97
41,2004-03-29,VANGUARD SMALL-CAP ETF,VB,49.51
42,2004-03-30,VANGUARD SMALL-CAP ETF,VB,50.21
43,2004-03-31,VANGUARD SMALL-CAP ETF,VB,50.4
44,2004-04-01,VANGUARD SMALL-CAP ETF,VB,50.7
45,2004-04-02,VANGUARD SMALL-CAP ETF,VB,51.42
46,2004-04-05,VANGUARD SMALL-CAP ETF,VB,51.34
47,2004-04-06,VANGUARD SMALL-CAP ETF,VB,51.2
48,2004-04-07,VANGUARD SMALL-CAP ETF,VB,50.94
49,2004-04-08,VANGUARD SMALL-CAP ETF,VB,51.08
50,2004-04-12,VANGUARD SMALL-CAP ETF,VB,51.06
51,2004-04-13,VANGUARD SMALL-CAP ETF,VB,49.92
52,2004-04-14,VANGUARD SMALL-CAP ETF,VB,49.43
53,2004-04-15,VANGUARD SMALL-CAP ETF,VB,49.5
54,2004-04-16,VANGUARD SMALL-CAP ETF,VB,49.91
55,2004-04-19,VANGUARD SMALL-CAP ETF,VB,50.17
56,2004-04-20,VANGUARD SMALL-CAP ETF,VB,49.68
57,2004-04-21,VANGUARD SMALL-CAP ETF,VB,49.54
58,2004-04-22,VANGUARD SMALL-CAP ETF,VB,50.59
59,2004-04-23,VANGUARD SMALL-CAP ETF,VB,50.39
60,2004-04-26,VANGUARD SMALL-CAP ETF,VB,50.39
61,2004-04-27,VANGUARD SMALL-CAP ETF,VB,50.43
62,2004-04-28,VANGUARD SMALL-CAP ETF,VB,49.35
